time_ms,rr_ms,rr_s,hr_bpm
1210.938,625.0,0.625,96.0
1849.609,638.672,0.638672,93.94
2478.516,628.906,0.628906,95.4
3638.672,1160.156,1.160156,51.72
4814.453,1175.781,1.175781,51.03
5263.672,449.219,0.449219,133.57
5818.359,554.688,0.554688,108.17
6363.281,544.922,0.544922,110.11
6947.266,583.984,0.583984,102.74
7517.578,570.312,0.570312,105.21
8253.906,736.328,0.736328,81.49
8847.656,593.75,0.59375,101.05
9765.625,917.969,0.917969,65.36
10302.734,537.109,0.537109,111.71
11419.922,1117.188,1.117188,53.71
12013.672,593.75,0.59375,101.05
12439.453,425.781,0.425781,140.92
13154.297,714.844,0.714844,83.93
13650.391,496.094,0.496094,120.94
14292.969,642.578,0.642578,93.37
15082.031,789.062,0.789062,76.04
15417.969,335.938,0.335938,178.6
15978.516,560.547,0.560547,107.04
16599.609,621.094,0.621094,96.6
17119.141,519.531,0.519531,115.49
17691.406,572.266,0.572266,104.85
18267.578,576.172,0.576172,104.14
18833.984,566.406,0.566406,105.93
19384.766,550.781,0.550781,108.94
19947.266,562.5,0.5625,106.67
20824.219,876.953,0.876953,68.42
21650.391,826.172,0.826172,72.62
22210.938,560.547,0.560547,107.04
22763.672,552.734,0.552734,108.55
23169.922,406.25,0.40625,147.69
23855.469,685.547,0.685547,87.52
24414.062,558.594,0.558594,107.41
24998.047,583.984,0.583984,102.74
25583.984,585.938,0.585938,102.4
26236.328,652.344,0.652344,91.98
27207.031,970.703,0.970703,61.81
27951.172,744.141,0.744141,80.63
28390.625,439.453,0.439453,136.53
29113.281,722.656,0.722656,83.03
29691.406,578.125,0.578125,103.78
30283.203,591.797,0.591797,101.39
30875.0,591.797,0.591797,101.39
31460.938,585.938,0.585938,102.4
32052.734,591.797,0.591797,101.39
32644.531,591.797,0.591797,101.39
33294.922,650.391,0.650391,92.25
33810.547,515.625,0.515625,116.36
34611.328,800.781,0.800781,74.93
36451.172,1839.844,1.839844,32.61
36796.875,345.703,0.345703,173.56
37654.297,857.422,0.857422,69.98
38017.578,363.281,0.363281,165.16
38621.094,603.516,0.603516,99.42
39238.281,617.188,0.617188,97.22
39839.844,601.562,0.601562,99.74
40453.125,613.281,0.613281,97.83
41060.547,607.422,0.607422,98.78
41685.547,625.0,0.625,96.0
42300.781,615.234,0.615234,97.52
42900.391,599.609,0.599609,100.07
43441.406,541.016,0.541016,110.9
44091.797,650.391,0.650391,92.25
