time_ms,rr_ms,rr_s,hr_bpm
1462.891,830.078,0.830078,72.28
2287.109,824.219,0.824219,72.8
3080.078,792.969,0.792969,75.67
3843.75,763.672,0.763672,78.57
4625.0,781.25,0.78125,76.8
5447.266,822.266,0.822266,72.97
6191.406,744.141,0.744141,80.63
6919.922,728.516,0.728516,82.36
7642.578,722.656,0.722656,83.03
8337.891,695.312,0.695312,86.29
9066.406,728.516,0.728516,82.36
9849.609,783.203,0.783203,76.61
10646.484,796.875,0.796875,75.29
11455.078,808.594,0.808594,74.2
12218.75,763.672,0.763672,78.57
12980.469,761.719,0.761719,78.77
13748.047,767.578,0.767578,78.17
14521.484,773.438,0.773438,77.58
15287.109,765.625,0.765625,78.37
16089.844,802.734,0.802734,74.74
16939.453,849.609,0.849609,70.62
17769.531,830.078,0.830078,72.28
18648.438,878.906,0.878906,68.27
19572.266,923.828,0.923828,64.95
20437.5,865.234,0.865234,69.35
21234.375,796.875,0.796875,75.29
21988.281,753.906,0.753906,79.59
22773.438,785.156,0.785156,76.42
23601.562,828.125,0.828125,72.45
24458.984,857.422,0.857422,69.98
25347.656,888.672,0.888672,67.52
26238.281,890.625,0.890625,67.37
27113.281,875.0,0.875,68.57
27982.422,869.141,0.869141,69.03
28837.891,855.469,0.855469,70.14
29662.109,824.219,0.824219,72.8
30513.672,851.562,0.851562,70.46
31402.344,888.672,0.888672,67.52
32296.875,894.531,0.894531,67.07
33193.359,896.484,0.896484,66.93
34041.016,847.656,0.847656,70.78
34851.562,810.547,0.810547,74.02
35658.203,806.641,0.806641,74.38
36423.828,765.625,0.765625,78.37
37173.828,750.0,0.75,80.0
37900.391,726.562,0.726562,82.58
38617.188,716.797,0.716797,83.71
39433.594,816.406,0.816406,73.49
40330.078,896.484,0.896484,66.93
41253.906,923.828,0.923828,64.95
42166.016,912.109,0.912109,65.78
43062.5,896.484,0.896484,66.93
43960.938,898.438,0.898438,66.78
44822.266,861.328,0.861328,69.66
45699.219,876.953,0.876953,68.42
46541.016,841.797,0.841797,71.28
47355.469,814.453,0.814453,73.67
48115.234,759.766,0.759766,78.97
48851.562,736.328,0.736328,81.49
49556.641,705.078,0.705078,85.1
50246.094,689.453,0.689453,87.03
50925.781,679.688,0.679688,88.28
51611.328,685.547,0.685547,87.52
52310.547,699.219,0.699219,85.81
53072.266,761.719,0.761719,78.77
53892.578,820.312,0.820312,73.14
54783.203,890.625,0.890625,67.37
55679.688,896.484,0.896484,66.93
56566.406,886.719,0.886719,67.67
57384.766,818.359,0.818359,73.32
58177.734,792.969,0.792969,75.67
58990.234,812.5,0.8125,73.85
59849.609,859.375,0.859375,69.82
60703.125,853.516,0.853516,70.3
61566.406,863.281,0.863281,69.5
62392.578,826.172,0.826172,72.62
63167.969,775.391,0.775391,77.38
63943.359,775.391,0.775391,77.38
64748.047,804.688,0.804688,74.56
65539.062,791.016,0.791016,75.85
66480.469,941.406,0.941406,63.73
67435.547,955.078,0.955078,62.82
68283.203,847.656,0.847656,70.78
69062.5,779.297,0.779297,76.99
69814.453,751.953,0.751953,79.79
70535.156,720.703,0.720703,83.25
71250.0,714.844,0.714844,83.93
71974.609,724.609,0.724609,82.8
72722.656,748.047,0.748047,80.21
73449.219,726.562,0.726562,82.58
74187.5,738.281,0.738281,81.27
74925.781,738.281,0.738281,81.27
75695.312,769.531,0.769531,77.97
76464.844,769.531,0.769531,77.97
77210.938,746.094,0.746094,80.42
77957.031,746.094,0.746094,80.42
78689.453,732.422,0.732422,81.92
79421.875,732.422,0.732422,81.92
80167.969,746.094,0.746094,80.42
80914.062,746.094,0.746094,80.42
81693.359,779.297,0.779297,76.99
82490.234,796.875,0.796875,75.29
83343.75,853.516,0.853516,70.3
84228.516,884.766,0.884766,67.81
85115.234,886.719,0.886719,67.67
85970.703,855.469,0.855469,70.14
86820.312,849.609,0.849609,70.62
87767.578,947.266,0.947266,63.34
88812.5,1044.922,1.044922,57.42
89849.609,1037.109,1.037109,57.85
90865.234,1015.625,1.015625,59.08
91853.516,988.281,0.988281,60.71
92878.906,1025.391,1.025391,58.51
93847.656,968.75,0.96875,61.94
94722.656,875.0,0.875,68.57
95552.734,830.078,0.830078,72.28
96404.297,851.562,0.851562,70.46
97259.766,855.469,0.855469,70.14
98148.438,888.672,0.888672,67.52
99074.219,925.781,0.925781,64.81
99957.031,882.812,0.882812,67.96
100806.641,849.609,0.849609,70.62
101613.281,806.641,0.806641,74.38
102388.672,775.391,0.775391,77.38
103134.766,746.094,0.746094,80.42
103863.281,728.516,0.728516,82.36
104578.125,714.844,0.714844,83.93
105306.641,728.516,0.728516,82.36
106080.078,773.438,0.773438,77.58
106962.891,882.812,0.882812,67.96
107941.406,978.516,0.978516,61.32
108908.203,966.797,0.966797,62.06
109736.328,828.125,0.828125,72.45
110535.156,798.828,0.798828,75.11
111353.516,818.359,0.818359,73.32
112095.703,742.188,0.742188,80.84
112796.875,701.172,0.701172,85.57
113501.953,705.078,0.705078,85.1
114226.562,724.609,0.724609,82.8
115037.109,810.547,0.810547,74.02
115869.141,832.031,0.832031,72.11
116708.984,839.844,0.839844,71.44
117505.859,796.875,0.796875,75.29
118355.469,849.609,0.849609,70.62
119208.984,853.516,0.853516,70.3
120070.312,861.328,0.861328,69.66
120980.469,910.156,0.910156,65.92
