time_ms,rr_ms,rr_s,hr_bpm
1085.938,636.719,0.636719,94.23
1703.125,617.188,0.617188,97.22
2318.359,615.234,0.615234,97.52
2919.922,601.562,0.601562,99.74
3509.766,589.844,0.589844,101.72
4087.891,578.125,0.578125,103.78
4658.203,570.312,0.570312,105.21
5218.75,560.547,0.560547,107.04
5769.531,550.781,0.550781,108.94
6310.547,541.016,0.541016,110.9
6869.141,558.594,0.558594,107.41
7437.5,568.359,0.568359,105.57
8000.0,562.5,0.5625,106.67
8566.406,566.406,0.566406,105.93
9214.844,648.438,0.648438,92.53
9910.156,695.312,0.695312,86.29
10576.172,666.016,0.666016,90.09
11242.188,666.016,0.666016,90.09
11976.562,734.375,0.734375,81.7
12708.984,732.422,0.732422,81.92
13376.953,667.969,0.667969,89.82
14121.094,744.141,0.744141,80.63
14939.453,818.359,0.818359,73.32
15634.766,695.312,0.695312,86.29
16314.453,679.688,0.679688,88.28
17023.438,708.984,0.708984,84.63
17736.328,712.891,0.712891,84.16
18386.719,650.391,0.650391,92.25
19066.406,679.688,0.679688,88.28
19746.094,679.688,0.679688,88.28
20410.156,664.062,0.664062,90.35
21085.938,675.781,0.675781,88.79
21808.594,722.656,0.722656,83.03
22535.156,726.562,0.726562,82.58
23330.078,794.922,0.794922,75.48
24259.766,929.688,0.929688,64.54
25050.781,791.016,0.791016,75.85
25763.672,712.891,0.712891,84.16
26482.422,718.75,0.71875,83.48
27160.156,677.734,0.677734,88.53
27812.5,652.344,0.652344,91.98
28498.047,685.547,0.685547,87.52
29166.016,667.969,0.667969,89.82
29798.828,632.812,0.632812,94.81
30386.719,587.891,0.587891,102.06
30962.891,576.172,0.576172,104.14
31529.297,566.406,0.566406,105.93
32136.719,607.422,0.607422,98.78
32919.922,783.203,0.783203,76.61
33708.984,789.062,0.789062,76.04
34560.547,851.562,0.851562,70.46
35472.656,912.109,0.912109,65.78
36347.656,875.0,0.875,68.57
37193.359,845.703,0.845703,70.95
37947.266,753.906,0.753906,79.59
38609.375,662.109,0.662109,90.62
39267.578,658.203,0.658203,91.16
39939.453,671.875,0.671875,89.3
40699.219,759.766,0.759766,78.97
41378.906,679.688,0.679688,88.28
42097.656,718.75,0.71875,83.48
43115.234,1017.578,1.017578,58.96
43988.281,873.047,0.873047,68.72
44748.047,759.766,0.759766,78.97
45490.234,742.188,0.742188,80.84
46294.922,804.688,0.804688,74.56
47089.844,794.922,0.794922,75.48
47869.141,779.297,0.779297,76.99
48613.281,744.141,0.744141,80.63
49275.391,662.109,0.662109,90.62
49945.312,669.922,0.669922,89.56
50603.516,658.203,0.658203,91.16
51234.375,630.859,0.630859,95.11
51873.047,638.672,0.638672,93.94
52564.453,691.406,0.691406,86.78
53328.125,763.672,0.763672,78.57
54083.984,755.859,0.755859,79.38
54806.641,722.656,0.722656,83.03
55613.281,806.641,0.806641,74.38
56361.328,748.047,0.748047,80.21
57091.797,730.469,0.730469,82.14
57851.562,759.766,0.759766,78.97
58583.984,732.422,0.732422,81.92
59326.172,742.188,0.742188,80.84
60009.766,683.594,0.683594,87.77
60623.047,613.281,0.613281,97.83
61294.922,671.875,0.671875,89.3
62042.969,748.047,0.748047,80.21
62937.5,894.531,0.894531,67.07
63710.938,773.438,0.773438,77.58
64406.25,695.312,0.695312,86.29
65099.609,693.359,0.693359,86.54
65855.469,755.859,0.755859,79.38
66669.922,814.453,0.814453,73.67
67410.156,740.234,0.740234,81.06
68101.562,691.406,0.691406,86.78
68796.875,695.312,0.695312,86.29
69468.75,671.875,0.671875,89.3
70099.609,630.859,0.630859,95.11
70751.953,652.344,0.652344,91.98
71458.984,707.031,0.707031,84.86
72226.562,767.578,0.767578,78.17
72984.375,757.812,0.757812,79.18
73765.625,781.25,0.78125,76.8
74466.797,701.172,0.701172,85.57
75199.219,732.422,0.732422,81.92
75904.297,705.078,0.705078,85.1
76546.875,642.578,0.642578,93.37
77160.156,613.281,0.613281,97.83
77759.766,599.609,0.599609,100.07
78367.188,607.422,0.607422,98.78
78976.562,609.375,0.609375,98.46
79593.75,617.188,0.617188,97.22
80177.734,583.984,0.583984,102.74
80765.625,587.891,0.587891,102.06
81365.234,599.609,0.599609,100.07
82048.828,683.594,0.683594,87.77
82779.297,730.469,0.730469,82.14
83500.0,720.703,0.720703,83.25
84195.312,695.312,0.695312,86.29
85033.203,837.891,0.837891,71.61
85855.469,822.266,0.822266,72.97
86580.078,724.609,0.724609,82.8
87275.391,695.312,0.695312,86.29
88023.438,748.047,0.748047,80.21
88779.297,755.859,0.755859,79.38
89505.859,726.562,0.726562,82.58
90220.703,714.844,0.714844,83.93
91007.812,787.109,0.787109,76.23
91833.984,826.172,0.826172,72.62
92558.594,724.609,0.724609,82.8
93369.141,810.547,0.810547,74.02
94179.688,810.547,0.810547,74.02
94898.438,718.75,0.71875,83.48
95595.703,697.266,0.697266,86.05
96304.688,708.984,0.708984,84.63
97001.953,697.266,0.697266,86.05
97648.438,646.484,0.646484,92.81
98322.266,673.828,0.673828,89.04
99007.812,685.547,0.685547,87.52
99734.375,726.562,0.726562,82.58
