time_ms,rr_ms,rr_s,hr_bpm
1226.562,677.734,0.677734,88.53
1812.5,585.938,0.585938,102.4
2369.141,556.641,0.556641,107.79
2955.078,585.938,0.585938,102.4
3548.828,593.75,0.59375,101.05
4140.625,591.797,0.591797,101.39
4761.719,621.094,0.621094,96.6
5332.031,570.312,0.570312,105.21
5912.109,580.078,0.580078,103.43
6458.984,546.875,0.546875,109.71
7029.297,570.312,0.570312,105.21
7589.844,560.547,0.560547,107.04
8140.625,550.781,0.550781,108.94
8722.656,582.031,0.582031,103.09
9332.031,609.375,0.609375,98.46
9953.125,621.094,0.621094,96.6
10615.234,662.109,0.662109,90.62
11244.141,628.906,0.628906,95.4
11843.75,599.609,0.599609,100.07
12441.406,597.656,0.597656,100.39
12929.688,488.281,0.488281,122.88
13630.859,701.172,0.701172,85.57
14234.375,603.516,0.603516,99.42
14804.688,570.312,0.570312,105.21
15425.781,621.094,0.621094,96.6
16023.438,597.656,0.597656,100.39
16632.812,609.375,0.609375,98.46
17226.562,593.75,0.59375,101.05
17845.703,619.141,0.619141,96.91
18427.734,582.031,0.582031,103.09
19039.062,611.328,0.611328,98.15
19669.922,630.859,0.630859,95.11
20314.453,644.531,0.644531,93.09
20994.141,679.688,0.679688,88.28
21662.109,667.969,0.667969,89.82
22324.219,662.109,0.662109,90.62
22951.172,626.953,0.626953,95.7
23621.094,669.922,0.669922,89.56
24228.516,607.422,0.607422,98.78
24845.703,617.188,0.617188,97.22
25417.969,572.266,0.572266,104.85
26007.812,589.844,0.589844,101.72
26552.734,544.922,0.544922,110.11
27119.141,566.406,0.566406,105.93
27693.359,574.219,0.574219,104.49
28238.281,544.922,0.544922,110.11
28800.781,562.5,0.5625,106.67
29421.875,621.094,0.621094,96.6
30181.641,759.766,0.759766,78.97
30974.609,792.969,0.792969,75.67
31751.953,777.344,0.777344,77.19
32513.672,761.719,0.761719,78.77
33238.281,724.609,0.724609,82.8
33933.594,695.312,0.695312,86.29
34648.438,714.844,0.714844,83.93
35298.828,650.391,0.650391,92.25
35810.547,511.719,0.511719,117.25
36541.016,730.469,0.730469,82.14
37156.25,615.234,0.615234,97.52
37757.812,601.562,0.601562,99.74
38400.391,642.578,0.642578,93.37
39060.547,660.156,0.660156,90.89
39718.75,658.203,0.658203,91.16
40388.672,669.922,0.669922,89.56
41021.484,632.812,0.632812,94.81
41677.734,656.25,0.65625,91.43
42316.406,638.672,0.638672,93.94
42957.031,640.625,0.640625,93.66
43630.859,673.828,0.673828,89.04
44265.625,634.766,0.634766,94.52
44792.969,527.344,0.527344,113.78
45541.016,748.047,0.748047,80.21
46154.297,613.281,0.613281,97.83
46763.672,609.375,0.609375,98.46
47402.344,638.672,0.638672,93.94
48021.484,619.141,0.619141,96.91
48652.344,630.859,0.630859,95.11
49289.062,636.719,0.636719,94.23
49898.438,609.375,0.609375,98.46
50521.484,623.047,0.623047,96.3
51134.766,613.281,0.613281,97.83
51759.766,625.0,0.625,96.0
52343.75,583.984,0.583984,102.74
52937.5,593.75,0.59375,101.05
53511.719,574.219,0.574219,104.49
54125.0,613.281,0.613281,97.83
54751.953,626.953,0.626953,95.7
55404.297,652.344,0.652344,91.98
56058.594,654.297,0.654297,91.7
56716.797,658.203,0.658203,91.16
57361.328,644.531,0.644531,93.09
57990.234,628.906,0.628906,95.4
58615.234,625.0,0.625,96.0
59238.281,623.047,0.623047,96.3
59873.047,634.766,0.634766,94.52
60507.812,634.766,0.634766,94.52
61128.906,621.094,0.621094,96.6
61753.906,625.0,0.625,96.0
62380.859,626.953,0.626953,95.7
63017.578,636.719,0.636719,94.23
63681.641,664.062,0.664062,90.35
64375.0,693.359,0.693359,86.54
65062.5,687.5,0.6875,87.27
65726.562,664.062,0.664062,90.35
66404.297,677.734,0.677734,88.53
67070.312,666.016,0.666016,90.09
67726.562,656.25,0.65625,91.43
68388.672,662.109,0.662109,90.62
69042.969,654.297,0.654297,91.7
69671.875,628.906,0.628906,95.4
70306.641,634.766,0.634766,94.52
70925.781,619.141,0.619141,96.91
71550.781,625.0,0.625,96.0
72193.359,642.578,0.642578,93.37
72869.141,675.781,0.675781,88.79
