time_ms,rr_ms,rr_s,hr_bpm
1382.812,544.922,0.544922,110.11
1937.5,554.688,0.554688,108.17
2503.906,566.406,0.566406,105.93
3037.109,533.203,0.533203,112.53
3578.125,541.016,0.541016,110.9
4126.953,548.828,0.548828,109.32
4636.719,509.766,0.509766,117.7
5169.922,533.203,0.533203,112.53
5699.219,529.297,0.529297,113.36
6218.75,519.531,0.519531,115.49
6748.047,529.297,0.529297,113.36
7289.062,541.016,0.541016,110.9
7824.219,535.156,0.535156,112.12
8322.266,498.047,0.498047,120.47
8847.656,525.391,0.525391,114.2
9371.094,523.438,0.523438,114.63
9896.484,525.391,0.525391,114.2
10416.016,519.531,0.519531,115.49
10951.172,535.156,0.535156,112.12
11468.75,517.578,0.517578,115.92
11994.141,525.391,0.525391,114.2
12527.344,533.203,0.533203,112.53
13033.203,505.859,0.505859,118.61
13578.125,544.922,0.544922,110.11
14107.422,529.297,0.529297,113.36
14613.281,505.859,0.505859,118.61
15130.859,517.578,0.517578,115.92
15687.5,556.641,0.556641,107.79
16199.219,511.719,0.511719,117.25
16740.234,541.016,0.541016,110.9
17273.438,533.203,0.533203,112.53
17822.266,548.828,0.548828,109.32
18341.797,519.531,0.519531,115.49
18888.672,546.875,0.546875,109.71
19423.828,535.156,0.535156,112.12
19931.641,507.812,0.507812,118.15
20435.547,503.906,0.503906,119.07
20955.078,519.531,0.519531,115.49
21472.656,517.578,0.517578,115.92
21988.281,515.625,0.515625,116.36
22550.781,562.5,0.5625,106.67
23109.375,558.594,0.558594,107.41
23667.969,558.594,0.558594,107.41
24226.562,558.594,0.558594,107.41
24783.203,556.641,0.556641,107.79
25337.891,554.688,0.554688,108.17
25900.391,562.5,0.5625,106.67
26457.031,556.641,0.556641,107.79
27041.016,583.984,0.583984,102.74
27617.188,576.172,0.576172,104.14
28160.156,542.969,0.542969,110.5
28746.094,585.938,0.585938,102.4
29226.562,480.469,0.480469,124.88
29916.016,689.453,0.689453,87.03
30537.109,621.094,0.621094,96.6
31150.391,613.281,0.613281,97.83
31763.672,613.281,0.613281,97.83
32357.422,593.75,0.59375,101.05
32962.891,605.469,0.605469,99.1
33525.391,562.5,0.5625,106.67
34121.094,595.703,0.595703,100.72
34693.359,572.266,0.572266,104.85
35283.203,589.844,0.589844,101.72
35884.766,601.562,0.601562,99.74
36509.766,625.0,0.625,96.0
37083.984,574.219,0.574219,104.49
37660.156,576.172,0.576172,104.14
38230.469,570.312,0.570312,105.21
38777.344,546.875,0.546875,109.71
39322.266,544.922,0.544922,110.11
39857.422,535.156,0.535156,112.12
40402.344,544.922,0.544922,110.11
40923.828,521.484,0.521484,115.06
41494.141,570.312,0.570312,105.21
42072.266,578.125,0.578125,103.78
42648.438,576.172,0.576172,104.14
43210.938,562.5,0.5625,106.67
43746.094,535.156,0.535156,112.12
44294.922,548.828,0.548828,109.32
44839.844,544.922,0.544922,110.11
45382.812,542.969,0.542969,110.5
45925.781,542.969,0.542969,110.5
46460.938,535.156,0.535156,112.12
46976.562,515.625,0.515625,116.36
47500.0,523.438,0.523438,114.63
48031.25,531.25,0.53125,112.94
48548.828,517.578,0.517578,115.92
49048.828,500.0,0.5,120.0
49566.406,517.578,0.517578,115.92
50113.281,546.875,0.546875,109.71
