time_ms,rr_ms,rr_s,hr_bpm
925.781,583.984,0.583984,102.74
1958.984,1033.203,1.033203,58.07
2652.344,693.359,0.693359,86.54
3705.078,1052.734,1.052734,56.99
4751.953,1046.875,1.046875,57.31
5080.078,328.125,0.328125,182.86
5451.172,371.094,0.371094,161.68
6490.234,1039.062,1.039062,57.74
6914.062,423.828,0.423828,141.57
7871.094,957.031,0.957031,62.69
8230.469,359.375,0.359375,166.96
8585.938,355.469,0.355469,168.79
8923.828,337.891,0.337891,177.57
9298.828,375.0,0.375,160.0
9601.562,302.734,0.302734,198.19
9957.031,355.469,0.355469,168.79
10712.891,755.859,0.755859,79.38
11375.0,662.109,0.662109,90.62
11720.703,345.703,0.345703,173.56
12087.891,367.188,0.367188,163.4
13101.562,1013.672,1.013672,59.19
13625.0,523.438,0.523438,114.63
14505.859,880.859,0.880859,68.12
15296.875,791.016,0.791016,75.85
15685.547,388.672,0.388672,154.37
16371.094,685.547,0.685547,87.52
17736.328,1365.234,1.365234,43.95
18847.656,1111.328,1.111328,53.99
19501.953,654.297,0.654297,91.7
20251.953,750.0,0.75,80.0
20722.656,470.703,0.470703,127.47
21449.219,726.562,0.726562,82.58
22066.406,617.188,0.617188,97.22
22402.344,335.938,0.335938,178.6
22914.062,511.719,0.511719,117.25
24398.438,1484.375,1.484375,40.42
25421.875,1023.438,1.023438,58.63
25806.641,384.766,0.384766,155.94
27650.391,1843.75,1.84375,32.54
28515.625,865.234,0.865234,69.35
30656.25,2140.625,2.140625,28.03
31396.484,740.234,0.740234,81.06
31878.906,482.422,0.482422,124.37
32500.0,621.094,0.621094,96.6
32845.703,345.703,0.345703,173.56
33576.172,730.469,0.730469,82.14
34314.453,738.281,0.738281,81.27
35019.531,705.078,0.705078,85.1
35414.062,394.531,0.394531,152.08
36113.281,699.219,0.699219,85.81
37591.797,1478.516,1.478516,40.58
37957.031,365.234,0.365234,164.28
38449.219,492.188,0.492188,121.9
39181.641,732.422,0.732422,81.92
40673.828,1492.188,1.492188,40.21
41437.5,763.672,0.763672,78.57
42074.219,636.719,0.636719,94.23
42437.5,363.281,0.363281,165.16
42949.219,511.719,0.511719,117.25
44447.266,1498.047,1.498047,40.05
45472.656,1025.391,1.025391,58.51
46632.812,1160.156,1.160156,51.72
47343.75,710.938,0.710938,84.4
48109.375,765.625,0.765625,78.37
48482.422,373.047,0.373047,160.84
49291.016,808.594,0.808594,74.2
50546.875,1255.859,1.255859,47.78
51564.453,1017.578,1.017578,58.96
51943.359,378.906,0.378906,158.35
53056.641,1113.281,1.113281,53.89
54169.922,1113.281,1.113281,53.89
54910.156,740.234,0.740234,81.06
55312.5,402.344,0.402344,149.13
55734.375,421.875,0.421875,142.22
57296.875,1562.5,1.5625,38.4
58781.25,1484.375,1.484375,40.42
60203.125,1421.875,1.421875,42.2
60582.031,378.906,0.378906,158.35
60996.094,414.062,0.414062,144.91
61849.609,853.516,0.853516,70.3
62599.609,750.0,0.75,80.0
63552.734,953.125,0.953125,62.95
64333.984,781.25,0.78125,76.8
65115.234,781.25,0.78125,76.8
65867.188,751.953,0.751953,79.79
67035.156,1167.969,1.167969,51.37
67371.094,335.938,0.335938,178.6
68968.75,1597.656,1.597656,37.56
70458.984,1490.234,1.490234,40.26
71189.453,730.469,0.730469,82.14
71537.109,347.656,0.347656,172.58
72113.281,576.172,0.576172,104.14
72720.703,607.422,0.607422,98.78
74171.875,1451.172,1.451172,41.35
74482.422,310.547,0.310547,193.21
74960.938,478.516,0.478516,125.39
75441.406,480.469,0.480469,124.88
76464.844,1023.438,1.023438,58.63
77208.984,744.141,0.744141,80.63
77962.891,753.906,0.753906,79.59
78716.797,753.906,0.753906,79.59
79505.859,789.062,0.789062,76.04
80613.281,1107.422,1.107422,54.18
81787.109,1173.828,1.173828,51.11
82923.828,1136.719,1.136719,52.78
83732.422,808.594,0.808594,74.2
84089.844,357.422,0.357422,167.87
84919.922,830.078,0.830078,72.28
85681.641,761.719,0.761719,78.77
87267.578,1585.938,1.585938,37.83
87990.234,722.656,0.722656,83.03
88687.5,697.266,0.697266,86.05
89060.547,373.047,0.373047,160.84
89517.578,457.031,0.457031,131.28
90263.672,746.094,0.746094,80.42
91039.062,775.391,0.775391,77.38
91804.688,765.625,0.765625,78.37
92576.172,771.484,0.771484,77.77
93318.359,742.188,0.742188,80.84
94056.641,738.281,0.738281,81.27
94800.781,744.141,0.744141,80.63
95582.031,781.25,0.78125,76.8
96300.781,718.75,0.71875,83.48
97066.406,765.625,0.765625,78.37
97537.109,470.703,0.470703,127.47
98974.609,1437.5,1.4375,41.74
99712.891,738.281,0.738281,81.27
100074.219,361.328,0.361328,166.05
100843.75,769.531,0.769531,77.97
101570.312,726.562,0.726562,82.58
102455.078,884.766,0.884766,67.81
103142.578,687.5,0.6875,87.27
103931.641,789.062,0.789062,76.04
105472.656,1541.016,1.541016,38.94
106830.078,1357.422,1.357422,44.2
107683.594,853.516,0.853516,70.3
108751.953,1068.359,1.068359,56.16
109621.094,869.141,0.869141,69.03
110072.266,451.172,0.451172,132.99
110986.328,914.062,0.914062,65.64
