time_ms,rr_ms,rr_s,hr_bpm
1158.203,585.938,0.585938,102.4
1705.078,546.875,0.546875,109.71
2220.703,515.625,0.515625,116.36
2771.484,550.781,0.550781,108.94
3322.266,550.781,0.550781,108.94
3861.328,539.062,0.539062,111.3
4423.828,562.5,0.5625,106.67
4966.797,542.969,0.542969,110.5
5480.469,513.672,0.513672,116.81
6027.344,546.875,0.546875,109.71
6585.938,558.594,0.558594,107.41
7187.5,601.562,0.601562,99.74
7853.516,666.016,0.666016,90.09
8562.5,708.984,0.708984,84.63
9302.734,740.234,0.740234,81.06
9962.891,660.156,0.660156,90.89
10607.422,644.531,0.644531,93.09
11220.703,613.281,0.613281,97.83
11988.281,767.578,0.767578,78.17
12814.453,826.172,0.826172,72.62
13511.719,697.266,0.697266,86.05
14152.344,640.625,0.640625,93.66
14833.984,681.641,0.681641,88.02
15599.609,765.625,0.765625,78.37
16289.062,689.453,0.689453,87.03
16945.312,656.25,0.65625,91.43
17560.547,615.234,0.615234,97.52
18175.781,615.234,0.615234,97.52
18849.609,673.828,0.673828,89.04
19558.594,708.984,0.708984,84.63
20359.375,800.781,0.800781,74.93
21185.547,826.172,0.826172,72.62
21933.594,748.047,0.748047,80.21
22587.891,654.297,0.654297,91.7
23271.484,683.594,0.683594,87.77
23988.281,716.797,0.716797,83.71
24750.0,761.719,0.761719,78.77
25449.219,699.219,0.699219,85.81
26251.953,802.734,0.802734,74.74
27251.953,1000.0,1.0,60.0
28080.078,828.125,0.828125,72.45
28845.703,765.625,0.765625,78.37
29671.875,826.172,0.826172,72.62
30414.062,742.188,0.742188,80.84
31218.75,804.688,0.804688,74.56
32091.797,873.047,0.873047,68.72
32843.75,751.953,0.751953,79.79
33695.312,851.562,0.851562,70.46
34468.75,773.438,0.773438,77.58
35181.641,712.891,0.712891,84.16
35931.641,750.0,0.75,80.0
36675.781,744.141,0.744141,80.63
37380.859,705.078,0.705078,85.1
38261.719,880.859,0.880859,68.12
39162.109,900.391,0.900391,66.64
39988.281,826.172,0.826172,72.62
40777.344,789.062,0.789062,76.04
41607.422,830.078,0.830078,72.28
42341.797,734.375,0.734375,81.7
43091.797,750.0,0.75,80.0
43818.359,726.562,0.726562,82.58
44523.438,705.078,0.705078,85.1
45289.062,765.625,0.765625,78.37
46167.969,878.906,0.878906,68.27
47123.047,955.078,0.955078,62.82
47931.641,808.594,0.808594,74.2
48677.734,746.094,0.746094,80.42
49500.0,822.266,0.822266,72.97
50376.953,876.953,0.876953,68.42
51166.016,789.062,0.789062,76.04
51886.719,720.703,0.720703,83.25
52685.547,798.828,0.798828,75.11
53429.688,744.141,0.744141,80.63
54216.797,787.109,0.787109,76.23
55070.312,853.516,0.853516,70.3
55945.312,875.0,0.875,68.57
56683.594,738.281,0.738281,81.27
57394.531,710.938,0.710938,84.4
58072.266,677.734,0.677734,88.53
58718.75,646.484,0.646484,92.81
59402.344,683.594,0.683594,87.77
60300.781,898.438,0.898438,66.78
61150.391,849.609,0.849609,70.62
61955.078,804.688,0.804688,74.56
62697.266,742.188,0.742188,80.84
63365.234,667.969,0.667969,89.82
64033.203,667.969,0.667969,89.82
64734.375,701.172,0.701172,85.57
65802.734,1068.359,1.068359,56.16
66701.172,898.438,0.898438,66.78
67466.797,765.625,0.765625,78.37
68265.625,798.828,0.798828,75.11
69267.578,1001.953,1.001953,59.88
70207.031,939.453,0.939453,63.87
71119.141,912.109,0.912109,65.78
71908.203,789.062,0.789062,76.04
72765.625,857.422,0.857422,69.98
73626.953,861.328,0.861328,69.66
74421.875,794.922,0.794922,75.48
75298.828,876.953,0.876953,68.42
76244.141,945.312,0.945312,63.47
77146.484,902.344,0.902344,66.49
78005.859,859.375,0.859375,69.82
78855.469,849.609,0.849609,70.62
79634.766,779.297,0.779297,76.99
80408.203,773.438,0.773438,77.58
81296.875,888.672,0.888672,67.52
82146.484,849.609,0.849609,70.62
83162.109,1015.625,1.015625,59.08
84078.125,916.016,0.916016,65.5
84898.438,820.312,0.820312,73.14
85775.391,876.953,0.876953,68.42
86675.781,900.391,0.900391,66.64
87548.828,873.047,0.873047,68.72
88347.656,798.828,0.798828,75.11
89058.594,710.938,0.710938,84.4
89759.766,701.172,0.701172,85.57
90570.312,810.547,0.810547,74.02
91423.828,853.516,0.853516,70.3
92160.156,736.328,0.736328,81.49
93001.953,841.797,0.841797,71.28
93785.156,783.203,0.783203,76.61
94859.375,1074.219,1.074219,55.85
95800.781,941.406,0.941406,63.73
96628.906,828.125,0.828125,72.45
97363.281,734.375,0.734375,81.7
98066.406,703.125,0.703125,85.33
98816.406,750.0,0.75,80.0
99753.906,937.5,0.9375,64.0
100710.938,957.031,0.957031,62.69
101628.906,917.969,0.917969,65.36
102472.656,843.75,0.84375,71.11
103310.547,837.891,0.837891,71.61
104214.844,904.297,0.904297,66.35
105058.594,843.75,0.84375,71.11
105871.094,812.5,0.8125,73.85
106677.734,806.641,0.806641,74.38
107572.266,894.531,0.894531,67.07
