time_ms,rr_ms,rr_s,hr_bpm
902.344,558.594,0.558594,107.41
1451.172,548.828,0.548828,109.32
2027.344,576.172,0.576172,104.14
2595.703,568.359,0.568359,105.57
3171.875,576.172,0.576172,104.14
3765.625,593.75,0.59375,101.05
4324.219,558.594,0.558594,107.41
4945.312,621.094,0.621094,96.6
5521.484,576.172,0.576172,104.14
6085.938,564.453,0.564453,106.3
6619.141,533.203,0.533203,112.53
7121.094,501.953,0.501953,119.53
7642.578,521.484,0.521484,115.06
8179.688,537.109,0.537109,111.71
8703.125,523.438,0.523438,114.63
9265.625,562.5,0.5625,106.67
9853.516,587.891,0.587891,102.06
10410.156,556.641,0.556641,107.79
10998.047,587.891,0.587891,102.06
11609.375,611.328,0.611328,98.15
12222.656,613.281,0.613281,97.83
12839.844,617.188,0.617188,97.22
13449.219,609.375,0.609375,98.46
14011.719,562.5,0.5625,106.67
14564.453,552.734,0.552734,108.55
15105.469,541.016,0.541016,110.9
15605.469,500.0,0.5,120.0
16154.297,548.828,0.548828,109.32
16734.375,580.078,0.580078,103.43
17316.406,582.031,0.582031,103.09
17933.594,617.188,0.617188,97.22
18537.109,603.516,0.603516,99.42
19189.453,652.344,0.652344,91.98
19794.922,605.469,0.605469,99.1
20410.156,615.234,0.615234,97.52
21001.953,591.797,0.591797,101.39
21611.328,609.375,0.609375,98.46
22142.578,531.25,0.53125,112.94
22701.172,558.594,0.558594,107.41
23250.0,548.828,0.548828,109.32
23796.875,546.875,0.546875,109.71
24341.797,544.922,0.544922,110.11
24890.625,548.828,0.548828,109.32
25453.125,562.5,0.5625,106.67
26013.672,560.547,0.560547,107.04
26525.391,511.719,0.511719,117.25
27037.109,511.719,0.511719,117.25
27558.594,521.484,0.521484,115.06
28080.078,521.484,0.521484,115.06
28601.562,521.484,0.521484,115.06
29216.797,615.234,0.615234,97.52
29849.609,632.812,0.632812,94.81
30431.641,582.031,0.582031,103.09
31001.953,570.312,0.570312,105.21
31597.656,595.703,0.595703,100.72
32185.547,587.891,0.587891,102.06
32759.766,574.219,0.574219,104.49
