time_ms,rr_ms,rr_s,hr_bpm
1058.594,697.266,0.697266,86.05
1738.281,679.688,0.679688,88.28
2392.578,654.297,0.654297,91.7
3093.75,701.172,0.701172,85.57
4003.906,910.156,0.910156,65.92
4613.281,609.375,0.609375,98.46
5060.547,447.266,0.447266,134.15
5714.844,654.297,0.654297,91.7
6583.984,869.141,0.869141,69.03
8337.891,1753.906,1.753906,34.21
8908.203,570.312,0.570312,105.21
9470.703,562.5,0.5625,106.67
10009.766,539.062,0.539062,111.3
10607.422,597.656,0.597656,100.39
11185.547,578.125,0.578125,103.78
11808.594,623.047,0.623047,96.3
12412.109,603.516,0.603516,99.42
13066.406,654.297,0.654297,91.7
13742.188,675.781,0.675781,88.79
14427.734,685.547,0.685547,87.52
15136.719,708.984,0.708984,84.63
15779.297,642.578,0.642578,93.37
16386.719,607.422,0.607422,98.78
16968.75,582.031,0.582031,103.09
17583.984,615.234,0.615234,97.52
18210.938,626.953,0.626953,95.7
18843.75,632.812,0.632812,94.81
19468.75,625.0,0.625,96.0
20187.5,718.75,0.71875,83.48
20955.078,767.578,0.767578,78.17
21716.797,761.719,0.761719,78.77
22408.203,691.406,0.691406,86.78
23076.172,667.969,0.667969,89.82
23744.141,667.969,0.667969,89.82
24419.922,675.781,0.675781,88.79
25035.156,615.234,0.615234,97.52
25673.828,638.672,0.638672,93.94
26351.562,677.734,0.677734,88.53
27037.109,685.547,0.685547,87.52
27673.828,636.719,0.636719,94.23
28337.891,664.062,0.664062,90.35
29007.812,669.922,0.669922,89.56
29677.734,669.922,0.669922,89.56
30382.812,705.078,0.705078,85.1
31023.438,640.625,0.640625,93.66
31669.922,646.484,0.646484,92.81
32328.125,658.203,0.658203,91.16
32957.031,628.906,0.628906,95.4
33603.516,646.484,0.646484,92.81
34191.406,587.891,0.587891,102.06
34783.203,591.797,0.591797,101.39
35345.703,562.5,0.5625,106.67
35902.344,556.641,0.556641,107.79
36431.641,529.297,0.529297,113.36
36958.984,527.344,0.527344,113.78
37527.344,568.359,0.568359,105.57
38158.203,630.859,0.630859,95.11
38892.578,734.375,0.734375,81.7
39708.984,816.406,0.816406,73.49
40527.344,818.359,0.818359,73.32
41287.109,759.766,0.759766,78.97
42060.547,773.438,0.773438,77.58
42861.328,800.781,0.800781,74.93
43623.047,761.719,0.761719,78.77
44308.594,685.547,0.685547,87.52
44958.984,650.391,0.650391,92.25
45605.469,646.484,0.646484,92.81
46308.594,703.125,0.703125,85.33
46994.141,685.547,0.685547,87.52
47558.594,564.453,0.564453,106.3
48109.375,550.781,0.550781,108.94
48507.812,398.438,0.398438,150.59
49246.094,738.281,0.738281,81.27
49990.234,744.141,0.744141,80.63
50746.094,755.859,0.755859,79.38
51552.734,806.641,0.806641,74.38
52306.641,753.906,0.753906,79.59
53042.969,736.328,0.736328,81.49
53808.594,765.625,0.765625,78.37
54580.078,771.484,0.771484,77.77
55312.5,732.422,0.732422,81.92
56066.406,753.906,0.753906,79.59
56841.797,775.391,0.775391,77.38
57482.422,640.625,0.640625,93.66
58304.688,822.266,0.822266,72.97
59023.438,718.75,0.71875,83.48
59755.859,732.422,0.732422,81.92
60451.172,695.312,0.695312,86.29
61146.484,695.312,0.695312,86.29
61859.375,712.891,0.712891,84.16
62626.953,767.578,0.767578,78.17
63394.531,767.578,0.767578,78.17
64150.391,755.859,0.755859,79.38
64910.156,759.766,0.759766,78.97
65652.344,742.188,0.742188,80.84
66339.844,687.5,0.6875,87.27
