time_ms,rr_ms,rr_s,hr_bpm
1503.906,728.516,0.728516,82.36
2136.719,632.812,0.632812,94.81
2761.719,625.0,0.625,96.0
3320.312,558.594,0.558594,107.41
3939.453,619.141,0.619141,96.91
4496.094,556.641,0.556641,107.79
5074.219,578.125,0.578125,103.78
5613.281,539.062,0.539062,111.3
6166.016,552.734,0.552734,108.55
6744.141,578.125,0.578125,103.78
7333.984,589.844,0.589844,101.72
7935.547,601.562,0.601562,99.74
8480.469,544.922,0.544922,110.11
9046.875,566.406,0.566406,105.93
9613.281,566.406,0.566406,105.93
10166.016,552.734,0.552734,108.55
10753.906,587.891,0.587891,102.06
11318.359,564.453,0.564453,106.3
11951.172,632.812,0.632812,94.81
12539.062,587.891,0.587891,102.06
13156.25,617.188,0.617188,97.22
13761.719,605.469,0.605469,99.1
14341.797,580.078,0.580078,103.43
14945.312,603.516,0.603516,99.42
15478.516,533.203,0.533203,112.53
16064.453,585.938,0.585938,102.4
16619.141,554.688,0.554688,108.17
17150.391,531.25,0.53125,112.94
17705.078,554.688,0.554688,108.17
18279.297,574.219,0.574219,104.49
18841.797,562.5,0.5625,106.67
19453.125,611.328,0.611328,98.15
20052.734,599.609,0.599609,100.07
20675.781,623.047,0.623047,96.3
21275.391,599.609,0.599609,100.07
21882.812,607.422,0.607422,98.78
22447.266,564.453,0.564453,106.3
23039.062,591.797,0.591797,101.39
23615.234,576.172,0.576172,104.14
24212.891,597.656,0.597656,100.39
24800.781,587.891,0.587891,102.06
25376.953,576.172,0.576172,104.14
25986.328,609.375,0.609375,98.46
26570.312,583.984,0.583984,102.74
27175.781,605.469,0.605469,99.1
27757.812,582.031,0.582031,103.09
28351.562,593.75,0.59375,101.05
28916.016,564.453,0.564453,106.3
29511.719,595.703,0.595703,100.72
30083.984,572.266,0.572266,104.85
30705.078,621.094,0.621094,96.6
31357.422,652.344,0.652344,91.98
32035.156,677.734,0.677734,88.53
32662.109,626.953,0.626953,95.7
33300.781,638.672,0.638672,93.94
33921.875,621.094,0.621094,96.6
34507.812,585.938,0.585938,102.4
35101.562,593.75,0.59375,101.05
35687.5,585.938,0.585938,102.4
36253.906,566.406,0.566406,105.93
36847.656,593.75,0.59375,101.05
37455.078,607.422,0.607422,98.78
38107.422,652.344,0.652344,91.98
38732.422,625.0,0.625,96.0
39410.156,677.734,0.677734,88.53
40109.375,699.219,0.699219,85.81
40816.406,707.031,0.707031,84.86
41541.016,724.609,0.724609,82.8
42246.094,705.078,0.705078,85.1
42937.5,691.406,0.691406,86.78
43607.422,669.922,0.669922,89.56
44222.656,615.234,0.615234,97.52
44820.312,597.656,0.597656,100.39
45376.953,556.641,0.556641,107.79
45943.359,566.406,0.566406,105.93
46541.016,597.656,0.597656,100.39
47201.172,660.156,0.660156,90.89
47853.516,652.344,0.652344,91.98
48535.156,681.641,0.681641,88.02
49195.312,660.156,0.660156,90.89
49845.703,650.391,0.650391,92.25
50455.078,609.375,0.609375,98.46
51101.562,646.484,0.646484,92.81
51734.375,632.812,0.632812,94.81
52414.062,679.688,0.679688,88.28
53013.672,599.609,0.599609,100.07
53621.094,607.422,0.607422,98.78
54304.688,683.594,0.683594,87.77
54966.797,662.109,0.662109,90.62
55634.766,667.969,0.667969,89.82
56257.812,623.047,0.623047,96.3
56917.969,660.156,0.660156,90.89
57603.516,685.547,0.685547,87.52
58275.391,671.875,0.671875,89.3
58910.156,634.766,0.634766,94.52
59498.047,587.891,0.587891,102.06
60121.094,623.047,0.623047,96.3
60720.703,599.609,0.599609,100.07
61324.219,603.516,0.603516,99.42
61945.312,621.094,0.621094,96.6
62560.547,615.234,0.615234,97.52
63169.922,609.375,0.609375,98.46
63777.344,607.422,0.607422,98.78
64380.859,603.516,0.603516,99.42
64974.609,593.75,0.59375,101.05
65562.5,587.891,0.587891,102.06
66162.109,599.609,0.599609,100.07
66765.625,603.516,0.603516,99.42
67390.625,625.0,0.625,96.0
68017.578,626.953,0.626953,95.7
68703.125,685.547,0.685547,87.52
69445.312,742.188,0.742188,80.84
70261.719,816.406,0.816406,73.49
71015.625,753.906,0.753906,79.59
71775.391,759.766,0.759766,78.97
72503.906,728.516,0.728516,82.36
73197.266,693.359,0.693359,86.54
73861.328,664.062,0.664062,90.35
74511.719,650.391,0.650391,92.25
75150.391,638.672,0.638672,93.94
75775.391,625.0,0.625,96.0
76402.344,626.953,0.626953,95.7
77023.438,621.094,0.621094,96.6
77660.156,636.719,0.636719,94.23
78330.078,669.922,0.669922,89.56
79074.219,744.141,0.744141,80.63
79843.75,769.531,0.769531,77.97
80595.703,751.953,0.751953,79.79
81341.797,746.094,0.746094,80.42
82095.703,753.906,0.753906,79.59
82849.609,753.906,0.753906,79.59
83585.938,736.328,0.736328,81.49
84285.156,699.219,0.699219,85.81
84949.219,664.062,0.664062,90.35
85587.891,638.672,0.638672,93.94
86228.516,640.625,0.640625,93.66
86921.875,693.359,0.693359,86.54
87681.641,759.766,0.759766,78.97
88466.797,785.156,0.785156,76.42
89251.953,785.156,0.785156,76.42
89988.281,736.328,0.736328,81.49
90675.781,687.5,0.6875,87.27
91326.172,650.391,0.650391,92.25
91939.453,613.281,0.613281,97.83
92529.297,589.844,0.589844,101.72
93103.516,574.219,0.574219,104.49
93679.688,576.172,0.576172,104.14
94300.781,621.094,0.621094,96.6
95103.516,802.734,0.802734,74.74
95917.969,814.453,0.814453,73.67
96748.047,830.078,0.830078,72.28
97560.547,812.5,0.8125,73.85
98357.422,796.875,0.796875,75.29
99115.234,757.812,0.757812,79.18
99791.016,675.781,0.675781,88.79
100425.781,634.766,0.634766,94.52
101054.688,628.906,0.628906,95.4
101642.578,587.891,0.587891,102.06
102263.672,621.094,0.621094,96.6
102945.312,681.641,0.681641,88.02
103638.672,693.359,0.693359,86.54
104410.156,771.484,0.771484,77.77
105125.0,714.844,0.714844,83.93
105833.984,708.984,0.708984,84.63
106527.344,693.359,0.693359,86.54
107289.062,761.719,0.761719,78.77
